Date,HomeTeam,AwayTeam,FTHG,FTAG
04/10/2000,25,21,2,2
05/10/2000,20,17,3,4
05/10/2000,7,16,4,2
05/10/2000,4,23,6,3
05/10/2000,6,9,4,4
06/10/2000,5,18,1,3
06/10/2000,15,26,1,4
06/10/2000,13,23,3,4
06/10/2000,14,2,3,3
06/10/2000,1,8,8,4
06/10/2000,27,19,4,1
06/10/2000,28,19,1,4
06/10/2000,22,17,2,1
06/10/2000,24,30,3,1
07/10/2000,7,26,5,3
07/10/2000,11,3,1,2
07/10/2000,27,30,4,1
07/10/2000,9,25,3,1
07/10/2000,10,8,2,0
07/10/2000,4,6,1,5
07/10/2000,18,5,1,3
07/10/2000,12,15,3,3
07/10/2000,29,16,3,5
08/10/2000,22,21,1,1
08/10/2000,24,19,1,5
08/10/2000,14,23,4,5
09/10/2000,6,13,4,2
09/10/2000,29,26,1,7
09/10/2000,10,25,1,3
10/10/2000,12,25,5,2
10/10/2000,8,22,5,2
10/10/2000,20,21,1,3
11/10/2000,30,4,3,3
11/10/2000,3,8,3,1
11/10/2000,10,2,3,2
11/10/2000,17,22,3,4
11/10/2000,11,15,3,3
11/10/2000,26,19,4,4
11/10/2000,24,6,2,3
12/10/2000,20,29,2,3
12/10/2000,16,17,0,4
12/10/2000,23,21,2,5
12/10/2000,28,27,2,1
12/10/2000,25,4,4,1
13/10/2000,9,1,3,1
13/10/2000,26,6,5,0
13/10/2000,22,7,3,2
13/10/2000,19,30,2,0
13/10/2000,5,14,3,2
13/10/2000,18,15,3,1
13/10/2000,13,12,2,2
14/10/2000,25,15,3,0
14/10/2000,10,9,0,4
14/10/2000,8,16,5,4
14/10/2000,27,4,6,3
14/10/2000,18,12,2,1
14/10/2000,23,7,4,0
14/10/2000,5,3,8,6
14/10/2000,2,20,0,2
14/10/2000,21,29,3,1
14/10/2000,28,6,5,2
14/10/2000,1,24,4,2
15/10/2000,17,20,2,4
15/10/2000,26,27,5,6
15/10/2000,14,11,5,2
15/10/2000,30,22,3,5
15/10/2000,16,29,2,1
16/10/2000,23,10,5,2
16/10/2000,3,24,3,4
17/10/2000,22,6,6,1
17/10/2000,15,21,3,4
17/10/2000,17,19,2,1
17/10/2000,11,1,3,3
17/10/2000,8,7,4,3
17/10/2000,2,24,3,4
17/10/2000,4,9,1,6
17/10/2000,18,26,1,1
18/10/2000,30,14,6,5
18/10/2000,23,20,4,1
18/10/2000,29,21,1,5
18/10/2000,5,12,2,3
18/10/2000,25,28,2,1
18/10/2000,16,3,2,4
18/10/2000,27,13,2,1
19/10/2000,22,10,1,4
19/10/2000,15,1,5,2
19/10/2000,19,26,7,1
19/10/2000,4,8,3,3
19/10/2000,9,5,3,3
19/10/2000,17,18,1,2
20/10/2000,16,25,1,5
20/10/2000,21,13,5,1
20/10/2000,20,6,3,2
20/10/2000,30,28,1,3
20/10/2000,11,2,3,5
20/10/2000,7,24,2,2
21/10/2000,17,7,5,4
21/10/2000,9,11,6,6
21/10/2000,8,12,5,2
21/10/2000,5,29,5,2
21/10/2000,1,14,7,2
21/10/2000,4,24,3,4
21/10/2000,20,10,1,2
21/10/2000,25,26,4,3
21/10/2000,18,28,3,5
21/10/2000,15,2,4,4
21/10/2000,23,27,2,3
21/10/2000,19,16,1,0
