"play_id","strength","gameWinningGoal","emptyNet"
"2016020045_6","Even",FALSE,FALSE
"2016020045_97","Even",FALSE,FALSE
"2016020045_103","Power Play",FALSE,FALSE
"2016020045_140","Power Play",FALSE,FALSE
"2016020045_197","Power Play",FALSE,FALSE
"2016020045_214","Even",FALSE,FALSE
"2016020045_219","Even",FALSE,FALSE
"2016020045_233","Power Play",FALSE,FALSE
"2016020045_258","Even",TRUE,FALSE
"2016020045_281","Even",FALSE,FALSE
"2016020045_294","Even",FALSE,TRUE
"2017020812_21","Short Handed",FALSE,FALSE
"2017020812_108","Power Play",FALSE,FALSE
"2017020812_189","Power Play",FALSE,FALSE
"2017020812_199","Even",FALSE,FALSE
"2017020812_254","Even",FALSE,FALSE
"2017020812_300","Even",FALSE,FALSE
"2017020812_309","Even",TRUE,FALSE
"2015020314_76","Even",FALSE,FALSE
"2015020314_175","Power Play",FALSE,FALSE
"2015020314_224","Even",TRUE,FALSE
"2015020314_261","Even",FALSE,FALSE
"2015020314_272","Even",FALSE,TRUE
"2015020849_60","Power Play",FALSE,FALSE
"2015020849_146","Power Play",TRUE,FALSE
"2015020849_224","Even",FALSE,FALSE
"2017020586_23","Even",FALSE,FALSE
"2017020586_174","Even",FALSE,FALSE
"2017020586_234","Power Play",TRUE,FALSE
"2016020610_55","Even",FALSE,FALSE
"2016020610_260","Power Play",FALSE,FALSE
"2016020610_269","Even",TRUE,FALSE
"2016020610_286","Even",FALSE,FALSE
"2016020610_320","Power Play",FALSE,FALSE
"2015020606_226","Even",FALSE,FALSE
"2015020606_252","Even",TRUE,FALSE
"2015020606_268","Power Play",FALSE,FALSE
"2017020240_59","Even",FALSE,FALSE
"2017020240_95","Power Play",FALSE,FALSE
"2017020240_193","Power Play",TRUE,FALSE
"2017020240_209","Power Play",FALSE,FALSE
"2017020240_215","Even",FALSE,FALSE
"2017020624_184","Power Play",TRUE,FALSE
"2017020624_298","Even",FALSE,FALSE
"2015020346_13","Even",FALSE,FALSE
"2015020346_53","Power Play",FALSE,FALSE
"2015020346_148","Even",FALSE,FALSE
"2015020346_154","Power Play",FALSE,FALSE
"2015020346_400","Even",FALSE,NA
"2015020346_402","Even",FALSE,NA
"2017020221_6","Even",FALSE,FALSE
"2017020221_40","Power Play",TRUE,FALSE
"2017020221_110","Even",FALSE,FALSE
"2017020221_151","Power Play",FALSE,FALSE
"2017020221_292","Short Handed",FALSE,TRUE
"2016020298_83","Even",FALSE,FALSE
"2016020298_252","Even",FALSE,FALSE
"2016020298_310","Even",FALSE,FALSE
"2016020298_313","Even",TRUE,FALSE
"2016020298_315","Even",FALSE,TRUE
"2016020298_317","Even",FALSE,FALSE
"2017020731_58","Even",FALSE,FALSE
"2017020731_102","Even",FALSE,FALSE
"2017020731_145","Even",FALSE,FALSE
"2017020731_204","Even",FALSE,FALSE
"2017020731_295","Even",TRUE,FALSE
"2016020205_30","Even",FALSE,FALSE
"2016020205_51","Even",FALSE,FALSE
"2016020205_144","Even",FALSE,FALSE
"2016020205_278","Even",TRUE,FALSE
"2016020205_289","Even",FALSE,FALSE
"2016020246_43","Even",FALSE,FALSE
"2016020246_51","Even",FALSE,FALSE
"2016020246_146","Even",FALSE,FALSE
"2016020246_191","Even",TRUE,FALSE
"2016020246_213","Even",FALSE,FALSE
"2016020246_263","Even",FALSE,FALSE
"2016020246_328","Even",FALSE,TRUE
"2016020107_61","Power Play",FALSE,FALSE
"2016020107_117","Power Play",FALSE,FALSE
"2016020107_212","Even",FALSE,FALSE
"2016020107_273","Power Play",FALSE,FALSE
"2016020107_297","Even",TRUE,FALSE
"2016021020_22","Even",FALSE,FALSE
"2016021020_72","Even",FALSE,FALSE
"2016021020_84","Power Play",FALSE,FALSE
"2016021020_116","Even",FALSE,FALSE
"2016021020_231","Power Play",FALSE,FALSE
"2016021020_281","Even",FALSE,FALSE
"2016021020_327","Even",FALSE,NA
"2017020986_9","Even",FALSE,FALSE
"2017020986_49","Power Play",FALSE,FALSE
"2017020986_148","Even",FALSE,FALSE
"2017020986_150","Even",FALSE,FALSE
"2017020986_170","Even",FALSE,FALSE
"2017020986_189","Even",FALSE,FALSE
"2017020986_220","Even",FALSE,FALSE
"2017020986_305","Even",FALSE,FALSE
"2017020986_335","Even",TRUE,FALSE
"2017021124_15","Even",FALSE,FALSE
"2017021124_19","Even",FALSE,FALSE
"2017021124_27","Even",FALSE,FALSE
"2017021124_35","Even",FALSE,FALSE
"2017021124_67","Power Play",FALSE,FALSE
"2017021124_98","Even",TRUE,FALSE
"2017021124_108","Even",FALSE,FALSE
"2017021124_148","Even",FALSE,FALSE
"2017021124_166","Even",FALSE,FALSE
"2017021124_253","Even",FALSE,FALSE
"2015020981_45","Power Play",FALSE,FALSE
"2015020981_48","Even",TRUE,FALSE
"2015020981_95","Even",FALSE,FALSE
"2015020981_122","Even",FALSE,FALSE
"2015020981_155","Even",FALSE,FALSE
"2015020981_203","Even",FALSE,FALSE
"2015020981_230","Even",FALSE,FALSE
"2017020146_32","Even",FALSE,FALSE
"2017020146_40","Even",FALSE,FALSE
"2017020146_47","Short Handed",FALSE,FALSE
"2017020146_64","Even",FALSE,FALSE
"2017020146_134","Short Handed",FALSE,FALSE
"2017020146_169","Even",FALSE,FALSE
"2017020146_197","Even",TRUE,FALSE
"2017020146_208","Even",FALSE,FALSE
"2017020146_229","Even",FALSE,FALSE
"2017020146_279","Even",FALSE,FALSE
"2016020716_48","Even",FALSE,FALSE
"2016020716_133","Even",FALSE,FALSE
"2016020716_205","Even",FALSE,FALSE
"2016020716_232","Even",TRUE,FALSE
"2016020716_252","Even",FALSE,FALSE
"2016020716_299","Even",FALSE,FALSE
"2017020001_94","Power Play",FALSE,FALSE
"2017020001_109","Even",FALSE,FALSE
"2017020001_113","Even",TRUE,FALSE
"2017020001_158","Even",FALSE,FALSE
"2017020001_226","Even",FALSE,FALSE
"2017020001_270","Power Play",FALSE,FALSE
"2017020001_285","Even",FALSE,FALSE
"2017020001_287","Even",FALSE,FALSE
"2017020001_291","Even",FALSE,FALSE
"2016020933_162","Power Play",FALSE,FALSE
"2016020933_193","Even",FALSE,FALSE
"2016020933_344","Even",TRUE,FALSE
"2016020933_349","Even",FALSE,TRUE
"2015021066_19","Even",TRUE,FALSE
"2015021066_25","Even",FALSE,FALSE
"2015021066_232","Even",FALSE,FALSE
"2015021066_294","Even",FALSE,FALSE
"2015020086_109","Even",FALSE,FALSE
"2015020086_128","Power Play",FALSE,FALSE
"2015020086_160","Even",FALSE,FALSE
"2015020086_169","Even",FALSE,FALSE
"2015020086_194","Even",FALSE,FALSE
"2015020086_196","Even",FALSE,FALSE
"2015020086_234","Even",FALSE,FALSE
"2015020086_270","Even",FALSE,FALSE
"2015020086_314","Even",FALSE,NA
"2017020482_11","Even",FALSE,FALSE
"2017020482_67","Even",FALSE,FALSE
"2017020482_356","Even",TRUE,FALSE
"2016021163_88","Even",FALSE,FALSE
"2016021163_126","Even",FALSE,FALSE
"2016021163_128","Even",FALSE,FALSE
"2016021163_161","Even",FALSE,FALSE
"2016021163_244","Even",TRUE,FALSE
"2016021163_297","Even",FALSE,TRUE
"2015020687_19","Even",FALSE,FALSE
"2015020687_29","Even",FALSE,FALSE
"2015020687_92","Even",FALSE,FALSE
"2015020687_100","Short Handed",FALSE,FALSE
"2015020687_130","Even",FALSE,FALSE
"2015020687_189","Even",FALSE,FALSE
"2015020687_217","Even",FALSE,FALSE
"2015020687_235","Even",FALSE,FALSE
"2015020687_246","Short Handed",TRUE,FALSE
"2015020687_298","Even",FALSE,TRUE
"2017020706_136","Power Play",FALSE,FALSE
"2017020706_168","Power Play",FALSE,FALSE
"2017020706_260","Even",FALSE,FALSE
"2017020706_300","Even",TRUE,TRUE
"2017020706_303","Even",FALSE,FALSE
"2015020619_137","Even",TRUE,FALSE
"2015020619_155","Short Handed",FALSE,FALSE
"2015020619_195","Even",FALSE,FALSE
"2015020619_207","Even",FALSE,FALSE
"2015020619_246","Even",FALSE,FALSE
"2015020619_273","Even",FALSE,FALSE
"2015020619_279","Even",FALSE,FALSE
"2017021076_119","Even",TRUE,FALSE
"2015020562_46","Even",FALSE,FALSE
"2015020562_105","Even",TRUE,FALSE
"2015020562_113","Even",FALSE,FALSE
"2015020562_212","Even",FALSE,FALSE
"2015020562_281","Power Play",FALSE,TRUE
"2016020264_90","Even",FALSE,FALSE
"2016020264_130","Power Play",TRUE,FALSE
"2016020264_178","Power Play",FALSE,FALSE
