"game_id","official_name","official_type"
"2016020045","Dan O'Rourke","Referee"
"2016020045","Trevor Hanson","Referee"
"2016020045","Scott Driscoll","Linesman"
"2016020045","Lonnie Cameron","Linesman"
"2017020812","Justin St. Pierre ","Referee"
"2017020812","Steve Kozari","Referee"
"2017020812","Mark Shewchyk","Linesman"
"2017020812","Kory Nagy","Linesman"
"2015020314","Kelly Sutherland","Referee"
"2015020314","Justin St. Pierre ","Referee"
"2015020314","Ryan Gibbons","Linesman"
"2015020314","Bryan Pancich","Linesman"
"2015020849","Frederick L'Ecuyer","Referee"
"2015020849","Francois St-Laurent","Referee"
"2015020849","Pierre Racicot","Linesman"
"2015020849","Tony Sericolo","Linesman"
"2017020586","Kelly Sutherland","Referee"
"2017020586","Jake Brenk","Referee"
"2017020586","Shane Heyer","Linesman"
"2017020586","Mark Shewchyk","Linesman"
"2016020610","Jean Hebert","Referee"
"2016020610","Francois St-Laurent","Referee"
"2016020610","Steve Barton","Linesman"
"2016020610","Devin Berg","Linesman"
"2015020606","Kelly Sutherland","Referee"
"2015020606","Thomas John Luxmore","Referee"
"2015020606","Jay Sharrers","Linesman"
"2015020606","Kiel Murchison","Linesman"
"2017020240","Chris Rooney","Referee"
"2017020240","Francis Charron","Referee"
"2017020240","Michel Cormier","Linesman"
"2017020240","Bryan Pancich","Linesman"
"2017020624","Francis Charron","Referee"
"2017020624","Pierre Lambert","Referee"
"2017020624","Shane Heyer","Linesman"
"2017020624","Kiel Murchison","Linesman"
"2015020346","Brian Pochmara","Referee"
"2015020346","Tom Kowal","Referee"
"2015020346","Steve Miller","Linesman"
"2015020346","David Brisebois","Linesman"
"2017020221","Jean Hebert","Referee"
"2017020221","Jake Brenk","Referee"
"2017020221","Greg Devorski","Linesman"
"2017020221","Mark Wheler","Linesman"
"2016020298","Mike Leggo","Referee"
"2016020298","Kyle Rehman","Referee"
"2016020298","Shane Heyer","Linesman"
"2016020298","Steve Miller","Linesman"
"2017020731","Thomas John Luxmore","Referee"
"2017020731","Marc Joannette","Referee"
"2017020731","Mark Wheler","Linesman"
"2017020731","Mark Shewchyk","Linesman"
"2016020205","Kyle Rehman","Referee"
"2016020205","Brad Watson","Referee"
"2016020205","Brandon Gawryletz","Linesman"
"2016020205","Lonnie Cameron","Linesman"
"2016020246","Frederick L'Ecuyer","Referee"
"2016020246","Eric Furlatt","Referee"
"2016020246","Trent Knorr ","Linesman"
"2016020246","Darren Gibbs","Linesman"
"2016020107","Jean Hebert","Referee"
"2016020107","Frederick L'Ecuyer","Referee"
"2016020107","Pierre Racicot","Linesman"
"2016020107","Brian Murphy","Linesman"
"2016021020","Justin St. Pierre ","Referee"
"2016021020","Brad Watson","Referee"
"2016021020","Brad Kovachik","Linesman"
"2016021020","Ryan Galloway","Linesman"
"2017020986","Ghislain Hebert","Referee"
"2017020986","Graham Skilliter","Referee"
"2017020986","Lonnie Cameron","Linesman"
"2017020986","Brian Mach","Linesman"
"2017021124","Gord Dwyer","Referee"
"2017021124","Pierre Lambert","Referee"
"2017021124","Greg Devorski","Linesman"
"2017021124","Jonny Murray","Linesman"
"2015020981","Marc Joannette","Referee"
"2015020981","Chris Lee","Referee"
"2015020981","Matt MacPherson","Linesman"
"2015020981","Andy McElman","Linesman"
"2017020146","Eric Furlatt","Referee"
"2017020146","Evgeny Romasko","Referee"
"2017020146","Mark Wheler","Linesman"
"2017020146","Ryan Gibbons","Linesman"
"2016020716","Marc Joannette","Referee"
"2016020716","Brad Meier","Referee"
"2016020716","Tim Nowak","Linesman"
"2016020716","Devin Berg","Linesman"
"2017020001","Tim Peel","Referee"
"2017020001","Graham Skilliter","Referee"
"2017020001","Steve Barton","Linesman"
"2017020001","Ryan Galloway","Linesman"
"2016020933","Frederick L'Ecuyer","Referee"
"2016020933","Brad Watson","Referee"
"2016020933","Brandon Gawryletz","Linesman"
"2016020933","John Grandt","Linesman"
"2015021066","Brian Pochmara","Referee"
"2015021066","Chris Lee","Referee"
"2015021066","Shane Heyer","Linesman"
"2015021066","Mark Wheler","Linesman"
"2015020086","Justin St. Pierre ","Referee"
"2015020086","Brad Watson","Referee"
"2015020086","Tony Sericolo","Linesman"
"2015020086","Bryan Pancich","Linesman"
"2017020482","Gord Dwyer","Referee"
"2017020482","Evgeny Romasko","Referee"
"2017020482","Michel Cormier","Linesman"
"2017020482","Kory Nagy","Linesman"
"2016021163","Kyle Rehman","Referee"
"2016021163","Jean Hebert","Referee"
"2016021163","Mark Wheler","Linesman"
"2016021163","Mark Shewchyk","Linesman"
"2015020687","Jean Hebert","Referee"
"2015020687","Kyle Rehman","Referee"
"2015020687","David Brisebois","Linesman"
"2015020687","John Grandt","Linesman"
"2017020706","Garrett Rank","Referee"
"2017020706","Francois St-Laurent","Referee"
"2017020706","Ryan Gibbons","Linesman"
"2017020706","Jonny Murray","Linesman"
"2015020619","Dave Jackson","Referee"
"2015020619","Tom Chmielewski","Referee"
"2015020619","Shane Heyer","Linesman"
"2015020619","Tim Nowak","Linesman"
"2017021076","Tom Chmielewski","Referee"
"2017021076","Ian Walsh","Referee"
"2017021076","Brian Mach","Linesman"
"2017021076","Brian Murphy","Linesman"
"2015020562","Gord Dwyer","Referee"
"2015020562","Eric Furlatt","Referee"
