"play_id","penaltySeverity","penaltyMinutes"
"2016020045_41","Minor",2
"2016020045_101","Minor",2
"2016020045_134","Minor",2
"2016020045_174","Minor",2
"2016020045_189","Minor",2
"2016020045_226","Minor",2
"2016020045_264","Minor",2
"2017020812_17","Minor",2
"2017020812_59","Minor",2
"2017020812_84","Minor",2
"2017020812_96","Minor",2
"2017020812_173","Minor",2
"2017020812_174","Minor",2
"2017020812_186","Minor",2
"2015020314_15","Major",5
"2015020314_16","Major",5
"2015020314_89","Minor",2
"2015020314_109","Minor",2
"2015020314_168","Minor",2
"2015020314_185","Minor",4
"2015020849_42","Bench Minor",2
"2015020849_52","Minor",2
"2015020849_74","Minor",2
"2015020849_91","Minor",2
"2015020849_113","Minor",2
"2015020849_137","Minor",2
"2015020849_235","Minor",2
"2015020849_241","Minor",2
"2015020849_266","Minor",2
"2017020586_26","Minor",2
"2017020586_28","Minor",2
"2017020586_47","Minor",2
"2017020586_68","Major",5
"2017020586_69","Major",5
"2017020586_103","Minor",2
"2017020586_104","Minor",2
"2017020586_106","Minor",2
"2017020586_164","Minor",2
"2017020586_192","Minor",2
"2017020586_233","Minor",2
"2017020586_277","Minor",2
"2017020586_293","Minor",2
"2016020610_153","Minor",2
"2016020610_174","Minor",2
"2016020610_236","Bench Minor",2
"2016020610_249","Minor",2
"2016020610_295","Minor",2
"2016020610_316","Minor",2
"2015020606_59","Minor",2
"2015020606_98","Major",5
"2015020606_99","Minor",2
"2015020606_100","Game Misconduct",10
"2015020606_144","Minor",2
"2015020606_191","Minor",2
"2015020606_194","Minor",2
"2015020606_204","Minor",2
"2015020606_261","Minor",2
"2017020240_23","Minor",2
"2017020240_82","Minor",2
"2017020240_92","Minor",2
"2017020240_153","Minor",2
"2017020240_191","Minor",2
"2017020240_200","Minor",2
"2017020240_223","Minor",2
"2017020240_242","Minor",2
"2017020240_246","Major",5
"2017020240_247","Major",5
"2017020240_248","Minor",2
"2017020240_249","Misconduct",10
"2017020240_266","Minor",2
"2017020240_284","Minor",2
"2017020624_26","Bench Minor",2
"2017020624_84","Minor",2
"2017020624_104","Minor",2
"2017020624_105","Minor",2
"2017020624_147","Minor",2
"2017020624_177","Minor",2
"2017020624_188","Minor",2
"2017020624_210","Minor",2
"2015020346_51","Minor",2
"2015020346_123","Minor",2
"2015020346_152","Minor",2
"2015020346_196","Minor",2
"2015020346_235","Minor",2
"2015020346_240","Minor",2
"2015020346_292","Penalty Shot",0
"2015020346_317","Minor",2
"2015020346_382","Minor",2
"2017020221_31","Minor",2
"2017020221_77","Minor",2
"2017020221_145","Minor",2
"2017020221_179","Minor",2
"2017020221_203","Minor",2
"2017020221_215","Minor",2
"2017020221_290","Minor",2
"2016020298_15","Minor",2
"2016020298_56","Minor",2
"2016020298_259","Minor",2
"2016020298_306","Minor",2
"2017020731_81","Minor",2
"2017020731_132","Minor",2
"2017020731_225","Minor",2
"2017020731_263","Minor",2
"2016020205_115","Minor",2
"2016020205_135","Minor",2
"2016020205_146","Major",5
"2016020205_147","Major",5
"2016020205_244","Minor",2
"2016020246_15","Minor",2
"2016020246_307","Minor",2
"2016020107_10","Minor",2
"2016020107_44","Minor",2
"2016020107_54","Minor",2
"2016020107_65","Minor",2
"2016020107_99","Minor",2
"2016020107_114","Minor",2
"2016020107_252","Minor",2
"2016020107_258","Minor",4
"2016021020_47","Minor",2
"2016021020_81","Minor",2
"2016021020_141","Minor",2
"2016021020_157","Minor",2
"2016021020_177","Minor",2
"2016021020_228","Minor",2
"2016021020_309","Minor",2
"2017020986_43","Minor",2
"2017020986_63","Minor",2
"2017020986_117","Minor",2
"2017020986_137","Minor",2
"2017020986_141","Bench Minor",2
"2017020986_145","Minor",2
"2017021124_53","Minor",2
"2017021124_116","Minor",2
"2017021124_182","Minor",2
"2015020981_11","Minor",2
"2015020981_12","Minor",2
"2015020981_38","Minor",2
"2015020981_39","Minor",2
"2015020981_40","Minor",2
"2015020981_134","Minor",2
"2015020981_137","Minor",2
"2015020981_180","Minor",2
"2015020981_185","Minor",2
"2015020981_214","Minor",2
"2015020981_226","Minor",2
"2017020146_6","Minor",2
"2017020146_18","Minor",2
"2017020146_44","Minor",2
"2017020146_81","Minor",2
"2017020146_108","Minor",2
"2017020146_124","Minor",2
"2017020146_130","Minor",2
"2017020146_255","Minor",2
"2016020716_86","Minor",2
"2016020716_106","Major",5
"2016020716_107","Major",5
"2017020001_22","Minor",2
"2017020001_44","Minor",2
"2017020001_67","Minor",2
"2017020001_87","Minor",2
"2017020001_118","Minor",2
"2017020001_149","Bench Minor",2
"2017020001_168","Minor",2
"2017020001_184","Minor",2
"2017020001_248","Minor",2
"2017020001_254","Minor",2
"2017020001_266","Minor",2
"2017020001_277","Minor",2
"2016020933_86","Minor",2
"2016020933_158","Minor",2
"2016020933_229","Minor",2
"2016020933_262","Minor",2
"2016020933_281","Minor",2
"2015021066_57","Minor",2
"2015021066_78","Minor",2
"2015021066_88","Bench Minor",2
"2015021066_170","Minor",2
"2015021066_222","Minor",2
"2015021066_223","Minor",2
"2015021066_265","Major",5
"2015021066_266","Major",5
"2015020086_90","Minor",2
"2015020086_123","Minor",2
"2015020086_178","Minor",2
"2015020086_184","Minor",2
"2015020086_280","Minor",2
"2017020482_92","Minor",2
"2017020482_124","Minor",2
"2017020482_129","Minor",2
"2017020482_158","Minor",2
"2017020482_175","Minor",2
"2017020482_241","Minor",2
"2016021163_70","Minor",2
"2016021163_79","Minor",2
"2016021163_149","Minor",2
"2016021163_185","Minor",2
"2015020687_66","Minor",2
"2015020687_96","Minor",2
"2015020687_135","Minor",2
"2015020687_136","Minor",2
"2015020687_137","Minor",2
"2015020687_152","Minor",2
"2015020687_199","Minor",2
"2015020687_241","Minor",2
"2017020706_43","Minor",2
"2017020706_44","Minor",2
"2017020706_85","Minor",2
"2017020706_119","Minor",2
"2017020706_134","Minor",2
"2017020706_160","Minor",2
"2017020706_188","Bench Minor",2
"2017020706_216","Major",5
"2017020706_217","Minor",2
"2017020706_218","Major",5
"2017020706_235","Minor",2
"2015020619_38","Minor",2
"2015020619_92","Minor",2
"2015020619_152","Minor",2
"2015020619_183","Major",5
"2015020619_184","Major",5
"2015020619_185","Minor",2
"2015020619_228","Minor",2
"2015020619_290","Minor",2
"2015020619_305","Minor",2
"2017021076_22","Major",5
"2017021076_23","Major",5
"2017021076_31","Minor",2
"2017021076_125","Minor",2
"2017021076_152","Minor",2
"2017021076_173","Minor",2
"2017021076_290","Minor",2
"2015020562_53","Minor",2
"2015020562_70","Minor",2
"2015020562_115","Major",5
