"game_id","team_id","HoA","won","settled_in","head_coach","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","faceOffWinPercentage","giveaways","takeaways","blocked","startRinkSide"
"2016020045","4","away",FALSE,"REG","Dave Hakstol",4,27,30,6,4,2,50.9,12,9,11,"left"
"2016020045","16","home",TRUE,"REG","Joel Quenneville",7,28,20,8,3,2,49.1,16,8,9,"left"
"2017020812","24","away",TRUE,"OT","Randy Carlyle",4,34,16,6,3,1,43.8,7,4,14,"right"
"2017020812","7","home",FALSE,"OT","Phil Housley",3,33,17,8,2,1,56.2,5,6,14,"right"
"2015020314","21","away",TRUE,"REG","Patrick Roy",4,29,17,9,3,1,45.7,13,5,20,"left"
"2015020314","52","home",FALSE,"REG","Paul Maurice",1,21,22,11,2,0,54.3,13,7,9,"left"
"2015020849","52","away",FALSE,"REG","Paul Maurice",1,21,21,10,4,0,31.4,4,14,16,"left"
"2015020849","12","home",TRUE,"REG","Bill Peters",2,29,16,8,5,2,68.6,12,11,13,"left"
"2017020586","20","away",FALSE,"REG","Glen Gulutzan",1,23,20,19,3,0,54.7,10,4,7,"right"
"2017020586","24","home",TRUE,"REG","Randy Carlyle",2,41,15,13,6,1,45.3,13,4,21,"right"
"2016020610","15","away",TRUE,"REG","Barry Trotz",4,39,19,8,2,1,46.6,8,5,24,"left"
"2016020610","8","home",FALSE,"REG","Michel Therrien",1,23,27,4,4,1,53.4,12,7,18,"left"
"2015020606","10","away",FALSE,"REG","Mike Babcock",1,26,24,19,4,1,56.9,6,2,7,"left"
"2015020606","26","home",TRUE,"REG","Darryl Sutter",2,41,23,10,2,0,43.1,12,2,14,"left"
"2017020240","23","away",FALSE,"REG","Travis Green",1,20,11,27,5,0,47.5,13,5,15,"right"
"2017020240","24","home",TRUE,"REG","Randy Carlyle",4,35,10,15,6,3,52.5,11,6,12,"right"
"2017020624","29","away",FALSE,"REG","John Tortorella",0,34,12,8,3,0,57.6,3,8,14,"left"
"2017020624","21","home",TRUE,"REG","Jared Bednar",2,32,20,8,3,1,42.4,5,5,13,"left"
"2015020346","22","away",TRUE,"OT","Todd McLellan",2,36,31,8,4,1,50.6,5,2,17,"right"
"2015020346","5","home",FALSE,"OT","Mike Johnston",2,41,36,8,4,1,49.4,10,5,12,"right"
"2017020221","52","away",TRUE,"REG","Paul Maurice",4,26,22,8,3,1,39.7,3,2,15,"left"
"2017020221","25","home",FALSE,"REG","Ken Hitchcock",1,34,22,6,4,1,60.3,13,2,14,"left"
"2016020298","2","away",FALSE,"REG","Jack Capuano",2,24,35,4,2,0,53.4,12,2,17,"left"
"2016020298","26","home",TRUE,"REG","Darryl Sutter",4,28,30,4,2,0,46.6,9,2,19,"left"
"2017020731","2","away",FALSE,"OT","Doug Weight",2,34,23,4,2,0,46.9,5,3,15,"right"
"2017020731","53","home",TRUE,"OT","Rick Tocchet",3,33,25,4,2,0,53.1,3,4,8,"right"
